WHEAT,ORE,WOOD,BRICK,SHEEP,TOTAL,POINTS PER TURN
5,0,9,0,7,21,0.05333333333333334
4,3,3,5,5,20,0.1188118811881188
0,1,13,4,2,20,0.07920792079207921
4,0,9,2,6,21,0.04950495049504951
6,0,5,2,8,21,0.0891089108910891
0,8,4,5,3,20,0.0392156862745098
13,0,2,0,6,21,0.058823529411764705
2,5,7,4,2,20,0.19607843137254902
0,6,10,0,3,19,0.0392156862745098
10,0,11,0,0,21,0.06
10,4,4,0,3,21,0.2
5,2,0,11,3,21,0.08
0,5,0,15,1,21,0.08
5,0,0,3,12,20,0.04477611940298507
0,1,0,14,5,20,0.029850746268656716
4,4,3,5,4,20,0.14925373134328357
9,0,9,3,0,21,0.07462686567164178
1,5,7,5,3,21,0.04597701149425287
5,3,8,5,0,21,0.06896551724137931
6,5,7,0,2,20,0.12643678160919541
0,5,4,3,7,19,0.05747126436781609
0,6,7,5,4,22,0.05952380952380952
10,0,5,5,0,20,0.07142857142857142
5,3,5,0,9,22,0.03571428571428571
5,11,0,0,7,23,0.13095238095238096
6,4,5,4,2,21,0.12987012987012986
3,0,9,8,0,20,0.06493506493506493
6,2,8,0,5,21,0.07792207792207792
2,0,8,2,8,20,0.03896103896103896
6,14,0,2,0,22,0.11267605633802817
2,5,11,3,0,21,0.056338028169014086
8,9,0,3,0,20,0.14084507042253522
4,0,9,3,5,21,0.08450704225352113
6,0,0,4,10,20,0.041666666666666664
0,4,11,0,5,20,0.05
8,5,4,0,4,21,0.058333333333333334
0,5,10,6,0,21,0.08333333333333333
6,0,3,5,6,20,0.07
0,5,11,0,5,21,0.02
5,8,3,0,5,21,0.09
9,0,4,0,10,23,0.11
0,5,12,4,0,21,0.0847457627118644
7,2,1,5,5,20,0.05084745762711865
5,3,0,4,9,21,0.1694915254237288
11,3,0,0,7,21,0.1016949152542373
14,0,3,3,0,20,0.0375
0,0,11,5,5,21,0.1
8,5,7,0,1,21,0.075
4,14,0,2,1,21,0.125
0,0,5,8,7,20,0.05813953488372093
8,3,4,5,0,20,0.11627906976744186
9,2,2,2,5,20,0.06976744186046512
7,0,0,2,10,19,0.046511627906976744
4,5,8,3,1,21,0.17543859649122806
13,3,2,0,3,21,0.12280701754385964
13,0,5,0,2,20,0.05263157894736842
0,0,5,11,3,19,0.08771929824561403
5,0,4,1,11,21,0.07936507936507936
7,0,0,11,3,21,0.06349206349206349
5,2,6,4,3,20,0.15873015873015872
0,0,10,0,11,21,0.06349206349206349
1,4,10,0,6,21,0.07692307692307693
5,3,0,11,2,21,0.14102564102564102
0,4,7,6,3,20,0.07692307692307693
0,11,5,2,3,21,0.038461538461538464
5,3,2,0,13,23,0.10752688172043011
5,0,4,8,5,22,0.043010752688172046
3,3,4,1,10,21,0.08602150537634409
5,9,2,4,0,20,0.08602150537634409
5,4,9,3,0,21,0.09174311926605505
3,2,12,0,4,21,0.07339449541284404
3,0,8,0,11,22,0.06422018348623854
8,2,5,3,4,22,0.08256880733944955
14,3,0,0,5,22,0.15384615384615385
5,3,6,4,2,20,0.1076923076923077
5,0,3,2,11,21,0.03076923076923077
4,4,6,5,4,23,0.13846153846153847
3,0,9,2,7,21,0.08108108108108109
16,3,0,2,0,21,0.13513513513513514
8,3,5,0,5,21,0.10810810810810811
4,8,1,0,9,22,0.0945945945945946
0,7,4,0,9,20,0.04878048780487805
0,0,9,8,4,21,0.12195121951219512
3,0,7,8,3,21,0.08536585365853659
8,8,7,0,0,23,0.08536585365853659
10,7,4,0,0,21,0.09734513274336283
0,11,4,6,0,21,0.035398230088495575
3,3,9,0,6,21,0.07079646017699115
2,3,13,0,5,23,0.04424778761061947
2,9,4,0,6,21,0.136986301369863
10,0,0,0,11,21,0.0273972602739726
4,4,5,5,3,21,0.0684931506849315
2,0,13,5,3,23,0.1232876712328767
5,3,9,2,4,23,0.15
5,0,9,6,2,22,0.125
4,3,5,2,7,21,0.075
5,6,5,2,3,21,0.25
13,7,0,0,2,22,0.125
3,7,11,0,0,21,0.06944444444444445
9,2,6,0,3,20,0.08333333333333333
0,4,7,5,5,21,0.1388888888888889
4,0,1,12,4,21,0.09900990099009901
0,3,5,5,8,21,0.07920792079207921
7,5,9,0,0,21,0.0891089108910891
3,0,9,4,5,21,0.06930693069306931
10,0,0,3,9,22,0.12987012987012986
7,8,0,7,0,22,0.07792207792207792
0,0,4,5,12,21,0.07792207792207792
3,5,6,5,4,23,0.06493506493506493
3,3,4,10,0,20,0.11764705882352941
2,7,0,4,8,21,0.058823529411764705
4,0,9,5,3,21,0.09411764705882353
6,3,2,0,10,21,0.09411764705882353
1,4,0,8,9,22,0.029850746268656716
0,8,10,0,3,21,0.04477611940298507
4,0,0,4,13,21,0.14925373134328357
7,2,5,3,3,20,0.11940298507462686
4,0,0,7,9,20,0.046296296296296294
0,3,9,0,8,20,0.06481481481481481
4,0,11,5,0,20,0.07407407407407407
2,3,4,6,4,19,0.09259259259259259
7,4,0,5,5,21,0.08547008547008547
0,7,3,2,9,21,0.042735042735042736
0,7,5,5,5,22,0.042735042735042736
3,0,0,7,12,22,0.05982905982905983
8,5,4,4,0,21,0.0851063829787234
0,5,10,2,4,21,0.10638297872340426
0,0,10,0,12,22,0.0425531914893617
5,11,4,2,0,22,0.09574468085106383
8,0,0,7,5,20,0.049019607843137254
3,4,9,5,0,21,0.09803921568627451
3,7,8,0,3,21,0.0392156862745098
0,2,10,0,11,23,0.06862745098039216
6,4,5,5,1,21,0.09900990099009901
7,0,7,7,0,21,0.04950495049504951
7,2,13,0,0,22,0.07920792079207921
0,3,9,7,3,22,0.0891089108910891
14,0,3,0,4,21,0.050724637681159424
10,0,5,2,4,21,0.07246376811594203
0,8,3,2,8,21,0.043478260869565216
0,5,5,0,11,21,0.050724637681159424
7,0,0,5,8,20,0.058823529411764705
0,7,0,5,8,20,0.04411764705882353
2,5,13,0,0,20,0.058823529411764705
5,4,3,5,2,19,0.14705882352941177
3,14,2,2,0,21,0.08695652173913043
0,9,2,3,7,21,0.05434782608695652
5,4,2,5,4,20,0.09782608695652174
11,5,0,3,1,20,0.10869565217391304
0,10,4,0,7,21,0.06976744186046512
5,10,0,0,6,21,0.11627906976744186
8,8,3,0,2,21,0.06976744186046512
0,4,12,5,0,21,0.046511627906976744
8,5,5,0,3,21,0.14492753623188406
0,7,11,0,3,21,0.043478260869565216
4,0,8,6,3,21,0.10144927536231885
13,2,0,5,3,23,0.07246376811594203
10,4,0,4,5,23,0.17391304347826086
5,0,11,4,2,22,0.11594202898550725
5,8,3,3,2,21,0.08695652173913043
